Status,Session Title,Session Code,Date,Start Time,End Time,Room

Scheduled, PhysicsNeMo ,S81969,2026-03-15,19:00,19:50,China Simulive Room 3
Scheduled,,S81939,2026-03-15,20:00,20:50,China Simulive Room 3
Scheduled, NVIDIA  AI  AI ,S81974,2026-03-15,23:00,23:50,China Simulive Room 1
Scheduled, AI ,S81577,2026-03-16,00:00,00:50,China Simulive Room 3
Scheduled,,S81858,2026-03-16,01:00,01:50,China Simulive Room 3
Scheduled,,S81619,2026-03-16,19:00,19:50,China Simulive Room 3
Scheduled, Isaac Gym  Isaac Lab,S81860,2026-03-16,20:00,20:50,China Simulive Room 3
Scheduled, ChatGPT ,S82278,2026-03-16,23:00,23:50,China Simulive Room 3
Scheduled, Physical AI ,S82188,2026-03-17,00:00,00:50,China Simulive Room 3
Scheduled,AI ,S81944,2026-03-17,01:00,01:50,China Simulive Room 3
Scheduled,Build Physical Intelligence: Open Collaboration Across Robotics Ecosystems,S81509,2026-03-17,03:00,03:50,EMEA Simulive Room 1
Scheduled,Beyond the Black Box: Interpretability of LLMs in Finance,S82175,2026-03-17,06:00,06:50,EMEA Simulive Room 2
Scheduled, 3D  Beyond Visuals: A Physics-Informed Generative Method for Articulated 3D Assets,S81935,2026-03-17,19:00,19:50,China Simulive Room 3
Scheduled, NVIDIA Jetson Thor ,S81962,2026-03-17,20:00,20:50,China Simulive Room 3
Scheduled, NVIDIA Isaac Sim  Genie Sim 3.0 ,S81971,2026-03-17,23:00,23:50,China Simulive Room 3
Scheduled, GPU  Diffusion-Driven Embodied AI: From Unified Theory to GPU-Accelerated Robot Policies,S81979,2026-03-18,00:00,00:50,China Simulive Room 3
Scheduled,"PAINVIDIAPhysicalAIPAIIntegratesNVIDIAPhysicalAI:PowerE2ESDG,ModelTraining & Evaluation",S82282,2026-03-18,01:00,01:50,China Simulive Room 3
Scheduled,Neural Physics for AI-Powered Differentiable PDE-Solvers and Digital Twins,S81927,2026-03-18,03:00,03:50,EMEA Simulive Room 4
Favorited,(Favorited) Realizing the Promise of Quantum Computation,S82295,2026-03-18,15:00,15:40,Hyatt Place - Salon 1
Favorited,(Favorited) The State of Open-Source AI,S81791,2026-03-17,16:00,16:40,LL20CD
Favorited,(Favorited)  Performance optimization for training Multimodal Large Language Models,S81883,2026-03-16,01:00,01:50,China Simulive Room 2
Favorited,(Favorited) DiT ,S81970,2026-03-16,20:00,20:50,China Simulive Room 1
Favorited,(Favorited) Scaling the AI Life Cycle: Next-Gen Training and Inference With Crusoe Cloud (Presented by Crusoe),S82018,2026-03-18,09:00,09:40,Hilton Winchester (L1)
Favorited,(Favorited) Distillation Recipes and Synthetic Data Fine-Tuning for Algorithmic Trading,S81522,2026-03-17,13:00,13:40,Marriott BR 4
Favorited,(Favorited) Generate Synthetic Data for Physical AI with NVIDIA Cosmos World Foundation Models,DLIT81644,2026-03-18,13:00,14:45,Gold
Favorited,(Favorited) Building the Next Wave of AI-Enabled Robots,S81490,2026-03-17,16:00,17:00,LL21F
Favorited,(Favorited)  NVIDIA Dynamo Router  LongCat-Flash -,S81943,2026-03-17,19:00,19:50,China Simulive Room 2
Favorited,(Favorited)  2026  AI  - AI  AI ,S81846,2026-03-16,01:00,01:50,China Simulive Room 1
Favorited,(Favorited) NVIDIA  AI ,S81981,2026-03-15,20:00,20:50,China Simulive Room 1
